2022-12-26 20:12:51.539294 - entered data is: 5+7
2022-12-26 20:12:51.541306 - result of addition: 12
2022-12-26 20:13:19.337542 - entered data is: 77 + 3
2022-12-26 20:13:19.339539 - result of addition: 80
2022-12-27 19:13:31.509117 - entered data is: 2.5 + 3
2022-12-27 19:13:31.510232 - result of addition: 5.5
2022-12-27 19:14:00.686166 - entered data is: 2.5 + 2.5
2022-12-27 19:14:00.686802 - result of addition: 5.0
2022-12-27 19:16:11.859210 - entered data is: 5.5+ 5.5
2022-12-27 19:16:11.860920 - result of addition: 11.0
2022-12-27 19:20:10.539247 - entered data is: 2.5 + 3
2022-12-27 19:20:10.540746 - result of addition: 5.5
2022-12-27 20:12:21.254118 - entered data is: 1.5 + 5.2j
2022-12-27 20:15:32.899378 - entered data is: 1.4 + 4.5j
2022-12-27 20:15:32.900236 - complexus: ['1.4 ', ' 4.5j']
2022-12-27 20:16:23.457964 - entered data is: 1.5 + 3.2j
2022-12-27 20:16:23.459149 - complexus: ['1.5 ', ' 3.2j']
2022-12-27 20:24:01.647317 - entered data is: 1.4 + 4.5j
2022-12-27 20:25:01.859796 - entered data is: 1.5+3.2j
2022-12-27 20:25:01.860857 - complexus: (1.5+3.2j)
2022-12-27 20:27:03.580392 - entered data is: 1.4 + 4.5j
2022-12-27 20:27:26.709287 - entered data is: 1.5+3.2j
2022-12-27 20:27:26.711050 - complexus: (1.5+3.2j)
2022-12-27 20:28:22.226509 - entered data is: 1.4 + 4.5j
2022-12-27 20:30:00.990783 - entered data is: 1.5+3.2j
2022-12-27 20:30:00.992808 - complexus: (1.5+3.2j)
2022-12-27 20:41:03.125501 - complexus: 6
2022-12-27 20:42:40.522468 - complexus from (6.5+7j) to int: 6
2022-12-27 20:44:38.635743 - entered data is: 1.5+3.2j + 6
2022-12-27 20:45:16.246885 - entered data is: 1.5+3.2j + 6
2022-12-28 20:44:57.056735 - complexus from 1.5+7j to int: (1.5+7j)
2022-12-28 20:46:02.067095 - complexus from (8.5+7j) to int: (8.5+7j)
2022-12-28 20:46:43.211951 - complexus from (8.5+7j) to int: (8.5+7j)
2022-12-28 20:48:56.878799 - complexus from (8.5+7j) to int: (8.5+7j)
2022-12-28 20:56:09.456009 - complexus from (8.5+7j) to int: (8.5+7j)
2022-12-28 22:14:00.678667 - complexus from 1.5 + 7j + 7: (8.5+7j)
2022-12-28 22:27:55.696680 - complexus from 1.5 + 7j + 7: (8.5+7j)
2022-12-28 22:37:26.401989 - result of addition: 10
2022-12-28 22:42:04.308705 - complexus from 1.5 + 7j + 7: (8.5+7j)
2022-12-28 22:47:03.756962 - entered data is: 5+5
2022-12-28 22:47:44.939033 - entered data is: 5+5
2022-12-28 22:47:45.136544 - result of addition: 10
2022-12-28 22:49:21.267081 - entered data is: 5+5
2022-12-28 22:49:21.271075 - result of addition: 10
2022-12-28 22:54:56.717537 - entered data is: 4*2
2022-12-28 22:54:56.721578 - result of multiply: 2
2022-12-28 22:56:22.712277 - entered data is: 2+2
2022-12-28 22:56:22.718276 - result of addition: 4
2022-12-28 22:57:20.816872 - entered data is: 5*2
2022-12-28 22:57:20.819894 - result of multiply: 2.5
2022-12-28 22:58:17.577553 - entered data is: 5+5
2022-12-28 22:58:17.580443 - result of addition: 10
2022-12-28 22:59:22.913414 - entered data is: 4+1
2022-12-28 22:59:22.917111 - result of addition: 5
2022-12-28 22:59:32.751107 - entered data is: 8/2
2022-12-28 22:59:32.754091 - result of division: 4
2022-12-28 22:59:44.178031 - entered data is: 7^2
2022-12-28 22:59:44.179021 - result of exponent: 49
2022-12-28 22:59:55.697170 - entered data is: 6root
2022-12-28 22:59:55.700171 - the root of the number is: 2.449489742783178
2022-12-28 23:00:28.389857 - entered data is: 1.5 + 7j + 7
2022-12-28 23:00:28.392758 - complex from 1.5 + 7j + 7: (8.5+7j)
2022-12-28 23:00:59.301560 - entered data is: 1.5 + 7j + 7
2022-12-28 23:00:59.304550 - complex from 1.5 + 7j + 7: (8.5+7j)
2022-12-28 23:09:35.401349 - entered data is: 5+0
2022-12-28 23:09:35.403349 - result of addition: 5
2022-12-28 23:16:55.626570 - entered data is: 6*2
2022-12-28 23:16:55.628569 - result of multiply: 12
2022-12-28 23:18:33.035250 - entered data is: 5+3
2022-12-28 23:18:33.036173 - result of addition: 8
2022-12-28 23:21:55.353246 - entered data is: 5+8
2022-12-28 23:21:55.355218 - result of addition: 13
2022-12-28 23:26:24.714067 - entered data is: 6/2
2022-12-28 23:26:24.716069 - result of division: 3
2022-12-28 23:31:20.548898 - entered data is: 6.5 + 3
2022-12-28 23:31:20.549996 - result of addition: 9.5
2022-12-28 23:31:49.659955 - entered data is: 4.1+ 3
2022-12-28 23:31:49.660956 - result of addition: 7.1
2022-12-28 23:48:25.835555 - entered data is: 6**2
2022-12-28 23:49:00.244027 - entered data is: 6^2
2022-12-28 23:49:00.246026 - result of exponent: 36
2022-12-28 23:52:03.502534 - entered data is: 6^2
2022-12-28 23:52:03.503529 - result of exponent: 36
2022-12-28 23:54:34.966985 - entered data is: 5+1
2022-12-28 23:54:34.968986 - result of addition: 6
2022-12-28 23:55:15.899544 - entered data is: 4-2
2022-12-28 23:55:15.900472 - result of subtract: 2
2022-12-28 23:56:25.937606 - entered data is: 5-4
2022-12-28 23:56:25.938607 - result of subtract: 1
2022-12-28 23:59:07.354302 - entered data is: 1+1
2022-12-28 23:59:07.356399 - result of addition: 2
2022-12-29 00:22:13.808218 - entered data is: 6-0
2022-12-29 00:22:13.810217 - result of subtract: 6
2022-12-29 22:03:44.843122 - entered data is: 5+5
2022-12-29 22:03:44.849075 - result of addition: 10
2022-12-29 22:03:58.867258 - entered data is: 7+6
2022-12-29 22:03:58.869155 - result of addition: 13
2022-12-29 22:04:12.833176 - entered data is: 5-5
2022-12-29 22:04:12.836267 - result of subtract: 0
2022-12-29 22:04:21.133793 - entered data is: 8-1
2022-12-29 22:04:21.136140 - result of subtract: 7
2022-12-29 22:04:31.358233 - entered data is: 6-6
2022-12-29 22:04:31.362573 - result of subtract: 0
2022-12-29 22:04:49.940004 - entered data is: 6-9
2022-12-29 22:04:49.944909 - result of subtract: -3
2022-12-29 22:06:31.578471 - entered data is: 5+5
2022-12-29 22:06:31.581469 - result of addition: 10
2022-12-29 22:06:42.941339 - entered data is: 3+5
2022-12-29 22:06:42.943339 - result of addition: 8
2022-12-29 22:07:15.272296 - entered data is: 5+5
2022-12-29 22:07:15.276303 - result of addition: 10
2022-12-29 22:11:24.402479 - entered data is: 5-5
2022-12-29 22:11:24.405294 - result of subtract: 0
2022-12-29 22:20:10.761930 - entered data is: 6+7
2022-12-29 22:20:10.766172 - result of addition: 13
2022-12-29 22:23:23.876091 - entered data is: 6-5
2022-12-29 22:23:23.878050 - result of subtract: 1
2022-12-29 22:23:28.449532 - entered data is: 4-9
2022-12-29 22:23:28.453170 - result of subtract: -5
2022-12-29 22:23:34.495122 - entered data is: 9+ 5
2022-12-29 22:23:34.499900 - result of addition: 14
2022-12-29 22:23:42.247097 - entered data is: 45+9
2022-12-29 22:23:42.251093 - result of addition: 54
2022-12-29 22:23:44.985137 - entered data is: 6*7
2022-12-29 22:23:44.987774 - result of multiply: 42
2022-12-29 22:23:51.421643 - entered data is: 6/4
2022-12-29 22:23:51.424381 - result of division: 1.5
